Intent,Example
check_human,are you a bot?
check_human,am i speaking to an ai?
check_human,are you a human or a bot?
check_human,are you real?
check_human,are you virtual?
check_human,are you an ai?
check_human,aren't you a bot
check_human,are you a chatbot
check_human,are you a rasa bot?
check_human,are you a real bot?
check_human,are you a robot
check_human,are you ai
check_human,are you artificial
check_human,are you artificial intelligence
check_human,are you real
check_human,are you really a bot
check_human,are you robot
check_human,are you sure that you're a bot?
check_human,bot?
affirm,indeed
affirm,correct
affirm,that sounds good
affirm,yes
affirm,yess please
affirm,of course
affirm,yup
affirm,yeah
affirm,yes please
affirm,yes plz
affirm,Sure
affirm,Ok
affirm,sweet
affirm,"cool,"
affirm,yes...
affirm,y
affirm,ok
affirm,ye
affirm,okay
affirm,That would be great
affirm,YES
affirm,YUP
affirm,Yea
affirm,Yeah
affirm,Yeah sure
affirm,Yep
affirm,Yep that's fine
affirm,Yep!
affirm,Yepp
affirm,Yes
affirm,Yes I do
affirm,Yes please
affirm,Yes please!
affirm,"Yes, I accept"
ask_transfer_charge,Will I be charged for transferring money
ask_transfer_charge,do transfers cost something?
ask_transfer_charge,is there a transfer charge?
ask_transfer_charge,Is there a charge
ask_transfer_charge,will i be charged for a transaction?
ask_transfer_charge,do xfers cost something?
ask_transfer_charge,is there a transfer fee
ask_transfer_charge,is there a xfer fee
ask_transfer_charge,how much is the transfer fee
ask_transfer_charge,whats the cost of transferring money
ask_transfer_charge,what am I charged upon money transfer
ask_transfer_charge,are you gonna bill me for this exchange
ask_transfer_charge,whats the xfer price for this account
ask_transfer_charge,okay but how much to move this money?
ask_transfer_charge,how much is the fee to shift my money around
ask_transfer_charge,if I send money to someone will I be charged extra for that?
ask_transfer_charge,is there a charge when I send money to someone
ask_transfer_charge,what is the fee for sending money to someone else
ask_transfer_charge,I sent money to my friend will I be charged extra for that
ask_transfer_charge,what is the percentage fee for transactions to another person
ask_transfer_charge,are there any transaction fees or charges I should know about?
ask_transfer_charge,tell me about transfer fees
check_balance,How much money is on my account?
check_balance,How much money is on my [bank](account_type) account?
check_balance,what's my [balance](amount-of-money)?
check_balance,what's my [current balance](amount-of-money)?
check_balance,What's left on that account?
check_balance,How much do I have on that account?
check_balance,What's the [balance](amount-of-money) on that account?
check_balance,How much money is left on that account?
check_balance,what is my account [balance](amount-of-money)
check_balance,what's my account [balance](amount-of-money)?
check_balance,what's my account [balance](amount-of-money)
check_balance,whats my account [balance](amount-of-money)
check_balance,what is my [bank](account_type) account [balance](amount-of-money)
check_balance,what's my [bank](account_type) account [balance](amount-of-money)?
check_balance,what's my [bank](account_type) account [balance](amount-of-money)
check_balance,whats my [bank](account_type) account [balance](amount-of-money)
check_balance,What's my [credit card](account_type) [balance](amount-of-money)
check_balance,What's my [credit](account_type) [balance](amount-of-money)
check_balance,How much money do I owe on my [credit cards](account_type)
check_balance,Show me my [credit card](account_type) [balance](amount-of-money)
check_balance,What [credit](account_type) accounts do I have
check_balance,Show me my [credit](account_type) accounts
check_balance,Whats the [balance](amount-of-money) on my [credit](account_type) account
check_balance,What's my [credit](account_type) account
check_balance,What's my [emblem](credit_card) [card](account_type) [balance](amount-of-money)
check_balance,Show me my [iron bank](credit_card) [balance](amount-of-money)
check_balance,What's my [justice bank](credit_card) [balance](amount-of-money)
check_balance,What's the [balance](amount-of-money) on the [justice bank](credit_card) account
check_balance,what's my [emblm](credit_card) [credit card](account_type) [balance](amount-of-money)?
check_balance,what's my [credit card](account_type) [balance](amount-of-money)?
check_balance,what's my [credit card](account_type) account [balance](amount-of-money)?
check_balance,What is my [emblem](credit_card) [card](account_type) [balance](amount-of-money)?
check_balance,whats my [credit card](account_type) [balance](amount-of-money)
check_balance,What is my [emblem](credit_card) [balance](amount-of-money)?
check_balance,whats my [emblm](credit_card) [card](account_type) [balance](amount-of-money)?
check_balance,what's my [embelm](credit_card)'s [card](account_type) [balance](amount-of-money)?
check_balance,what's my [emblm](credit_card) account [balance](amount-of-money)?
check_balance,How much money have i spent lately>
check_balance,"I should check my [credit card]{""entity"": ""account_type"", ""value"": ""credit""} [balance](amount-of-money) [first](account_type)"
check_balance,"check my [credit card]{""entity"": ""account_type"", ""value"": ""credit""} [balance](amount-of-money)"
check_balance,"check my [credit card]{""entity"": ""account_type"", ""value"": ""credit""} [balance](amount-of-money) [first](account_type)"
check_balance,Can you tell me my account [balance](amount-of-money)?
check_balance,"Hello, I would like to know how much money is in much money is in my account"
check_balance,"hi, whats my account bal please"
check_balance,so.... what's my [balance](amount-of-money)?
check_balance,whats my [current balance](amount-of-money)
check_balance,What's my [balance](amount-of-money)?
check_balance,How much money do I have?
check_balance,"Yeah, I like coffee 👀 But how much money do I have?"
check_balance,"Yeah, I know 😀 Since it's so nice: How much money do I have?"
check_balance,what places have I spent money?
check_balance,"Wait, I'll have to check my balance first. Can you do that please?"
check_balance,"Hi, I need to know how much money is in my [checking](account_type) account"
check_balance,Balance please
check_earnings,How much money went into my account last month?
check_earnings,How much money did I make last year?
check_earnings,What did I earn last month?
check_earnings,How much did I make last month?
check_earnings,How much money did I make last week?
check_earnings,how much was deposited in my account last month?
check_earnings,how much was deposited in my account in the last two weeks?
check_earnings,check deposits for last week
check_earnings,total deposits over last year
check_earnings,how much was deposited in January
check_earnings,how much money have I earned?
check_earnings,what did I earn?
check_earnings,How much have i earned?
check_earnings,how much did I make
check_earnings,am I rich yet?
check_earnings,am I a millionaire
check_earnings,how much cash is rolling through my account
check_earnings,how much money is in the money making machine account?
check_earnings,what did I make in the last year?
check_earnings,show me how much I've earned in the last week
check_earnings,can i afford to go on vacation
check_earnings,rent is due soon how much do I have in my account
deny,not really
deny,no
deny,I don't think so
deny,never
deny,no way
deny,nope
deny,no thanks
deny,I dunno
deny,Nothing!
deny,nevermind
deny,n
deny,i decline
deny,i don not like this
deny,i don't think so
deny,i don't want either of those
deny,i don't want to
deny,i don't want to give you my email
deny,i dont want to
deny,i dont want to accept :P lol
deny,i guess it means - no
deny,i'm afraid not
deny,i'm not sure
goodbye,see you later
goodbye,goodbye
goodbye,i'm done
goodbye,quit
goodbye,stop
goodbye,bye
goodbye,Adios
goodbye,BYEE
goodbye,GOODBYE
goodbye,Thanks a lot. See ya later
goodbye,"have a good day. time to go, bye"
goodbye,bye bye
goodbye,ok i gtg
goodbye,bye bye bot
goodbye,bye for now
goodbye,bye udo
goodbye,bye was nice talking to you
goodbye,bye!
goodbye,byee
goodbye,catch you later
goodbye,ciao
goodbye,cya
goodbye,farewell
goodbye,good bye
goodbye,good bye rasa bot!
goodbye,good night
goodbye,goodbye
goodbye,goodbye.
goodbye,goodnight
goodbye,gotta go
greet,yo
greet,good morning
greet,hi
greet,hey there
greet,hey
greet,good evening
greet,hello
greet,Hello?
greet,HEY
greet,hello are you still there
greet,hallo
greet,HI
greet,Hey
greet,Hi
greet,hi!
greet,hello there
greet,hi there
greet,Hello
greet,hello its ella
greet,Hola.
greet,welcome
greet,howdy
greet,good day
inform,$10
inform,5000
inform,500
inform,$100
inform,$500
inform,100 dollars
inform,1000 dollars
inform,tomorrow
inform,next week
inform,yesterday
inform,for today
inform,last week
inform,the past month
inform,the past two days
inform,the last two weeks
inform,at [amazon](vendor_name)
inform,[starbucks](vendor_name)
inform,at [target](vendor_name)
inform,at [starbucks](vendor_name)
inform,[target](vendor_name)
inform,[Amazon](vendor_name)
inform,[Starbucks](vendor_name)
inform,[Target](vendor_name)
inform,I want to pay the [current balance](amount-of-money)
inform,[current balance](amount-of-money)
inform,[full](amount-of-money)
inform,in [full](amount-of-money)
inform,the [full balance](amount-of-money)
inform,[minimum balance](amount-of-money)
inform,I want to pay the [minimum balance](amount-of-money)
inform,the [current balance](amount-of-money)
inform,the [minimum balance](amount-of-money)
inform,my [minimum balance](amount-of-money)
inform,my [current balance](amount-of-money)
inform,[emblem](credit_card) [card](account_type)
inform,all [cards](account_type)
inform,[iron bank](credit_card) [card](account_type)
inform,[justice bank](credit_card) [card](account_type)
inform,[emblem](credit_card)
inform,[iron bank](credit_card)
inform,[justice bank](credit_card)
inform,[emblem](credit_card) account
inform,[iron bank](credit_card) account
inform,[justice bank](credit_card) account
inform,[emblem](credit_card) [credit card](account_type)
inform,[iron bank](credit_card) [credit card](account_type)
inform,[justice bank](credit_card) [credit card](account_type)
inform,my [emblem](credit_card) [credit card](account_type)
inform,my [iron bank](credit_card) [credit card](account_type)
inform,my [justice bank](credit_card) [credit card](account_type)
inform,my [emblem](credit_card) [card](account_type)
inform,my [iron bank](credit_card) [card](account_type)
inform,my [justice bank](credit_card) [card](account_type)
inform,towards my [emblem](credit_card) [card](account_type)
inform,towards my [iron bank](credit_card) [card](account_type)
inform,towards my [justice bank](credit_card) [card](account_type)
inform,for sunday
inform,for friday
inform,for tomorrow
inform,for saturday
inform,I want to pay the [minimum balance](amount-of-money) on my [emblem](credit_card) [credit card](account_type) today
inform,today
inform,Please schedule it for the first of next month
inform,a hundred dollars
inform,[mastercard](credit_card)
inform,[visa](credit_card)
inform,[american express](credit_card)
inform,my [rasa](credit_card) account
